	cancer_type	pathway	url
0	ccrcc	R-HSA-392499	https://reactome.org/PathwayBrowser/#/R-HSA-392499&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTJfMTU3NTA%3D
1	colon	R-HSA-392499	https://reactome.org/PathwayBrowser/#/R-HSA-392499&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTZfMTU3NTE%3D
2	endometrial	R-HSA-392499	https://reactome.org/PathwayBrowser/#/R-HSA-392499&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTlfMTU3NTI%3D
3	gbm	R-HSA-392499	https://reactome.org/PathwayBrowser/#/R-HSA-392499&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDJfMTU3NTM%3D
4	hnscc	R-HSA-392499	https://reactome.org/PathwayBrowser/#/R-HSA-392499&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDVfMTU3NTQ%3D
5	lscc	R-HSA-392499	https://reactome.org/PathwayBrowser/#/R-HSA-392499&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDdfMTU3NTU%3D
6	luad	R-HSA-392499	https://reactome.org/PathwayBrowser/#/R-HSA-392499&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMTBfMTU3NTY%3D
7	ovarian	R-HSA-392499	https://reactome.org/PathwayBrowser/#/R-HSA-392499&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMTJfMTU3NTc%3D
8	ccrcc	R-HSA-1430728	https://reactome.org/PathwayBrowser/#/R-HSA-1430728&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTJfMTU3NTA%3D
9	colon	R-HSA-1430728	https://reactome.org/PathwayBrowser/#/R-HSA-1430728&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTZfMTU3NTE%3D
10	endometrial	R-HSA-1430728	https://reactome.org/PathwayBrowser/#/R-HSA-1430728&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTlfMTU3NTI%3D
11	gbm	R-HSA-1430728	https://reactome.org/PathwayBrowser/#/R-HSA-1430728&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDJfMTU3NTM%3D
12	hnscc	R-HSA-1430728	https://reactome.org/PathwayBrowser/#/R-HSA-1430728&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDVfMTU3NTQ%3D
13	lscc	R-HSA-1430728	https://reactome.org/PathwayBrowser/#/R-HSA-1430728&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDdfMTU3NTU%3D
14	luad	R-HSA-1430728	https://reactome.org/PathwayBrowser/#/R-HSA-1430728&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMTBfMTU3NTY%3D
15	ovarian	R-HSA-1430728	https://reactome.org/PathwayBrowser/#/R-HSA-1430728&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMTJfMTU3NTc%3D
